,precision,recall,f1-score,support
admiration,0.7043478260869566,0.5185659411011524,0.5973451327433629,781.0
amusement,0.7427184466019418,0.652452025586354,0.6946651532349603,469.0
anger,0.5113636363636364,0.3082191780821918,0.38461538461538464,292.0
annoyance,0.3560606060606061,0.10307017543859649,0.1598639455782313,456.0
approval,0.5,0.14389799635701275,0.22347949080622348,549.0
caring,0.40298507462686567,0.2523364485981308,0.3103448275862069,214.0
confusion,0.3515625,0.17647058823529413,0.2349869451697128,255.0
curiosity,0.5022421524663677,0.24724061810154527,0.33136094674556216,453.0
desire,0.4788732394366197,0.272,0.3469387755102041,125.0
disappointment,0.33962264150943394,0.06716417910447761,0.11214953271028037,268.0
disapproval,0.36885245901639346,0.11568123393316196,0.1761252446183953,389.0
disgust,0.42696629213483145,0.2620689655172414,0.3247863247863248,145.0
embarrassment,0.37777777777777777,0.2833333333333333,0.3238095238095238,60.0
excitement,0.42574257425742573,0.22994652406417113,0.2986111111111111,187.0
fear,0.47619047619047616,0.39215686274509803,0.43010752688172044,102.0
gratitude,0.9055441478439425,0.8305084745762712,0.8664047151277013,531.0
grief,0.0,0.0,0.0,15.0
joy,0.5,0.33447098976109213,0.40081799591002043,293.0
love,0.7426273458445041,0.6487119437939111,0.6925,427.0
nervousness,0.14285714285714285,0.1,0.11764705882352941,30.0
optimism,0.6153846153846154,0.3878787878787879,0.4758364312267658,330.0
pride,0.42857142857142855,0.2727272727272727,0.3333333333333333,22.0
realization,0.40476190476190477,0.06640625,0.11409395973154363,256.0
relief,0.23076923076923078,0.09375,0.13333333333333333,32.0
remorse,0.4819277108433735,0.39215686274509803,0.43243243243243246,102.0
sadness,0.5260115606936416,0.32269503546099293,0.4,282.0
surprise,0.541095890410959,0.35267857142857145,0.42702702702702705,224.0
neutral,0.6356558972362787,0.5629093416063427,0.5970749542961609,2901.0
micro avg,0.6132337871468306,0.4110893032384691,0.49221549850185065,10190.0
macro avg,0.4685897349195126,0.29962491429200355,0.3549889681124662,10190.0
weighted avg,0.5721408119407716,0.4110893032384691,0.4655613852066518,10190.0
samples avg,0.4341453582123935,0.4349324272441066,0.42453735698379785,10190.0
