,precision,recall,f1-score,support
admiration,0.5173775671406003,0.7589803012746235,0.615312353217473,863.0
amusement,0.6513157894736842,0.8741721854304636,0.7464655984919887,453.0
anger,0.28904109589041094,0.653250773993808,0.4007597340930674,323.0
annoyance,0.1839323467230444,0.5403726708074534,0.2744479495268139,483.0
approval,0.17003792667509482,0.4662045060658579,0.2491894395553497,577.0
caring,0.17470664928292046,0.6320754716981132,0.27374872318692545,212.0
confusion,0.12903225806451613,0.43410852713178294,0.1989342806394316,258.0
curiosity,0.12369597615499255,0.36086956521739133,0.18423973362930077,460.0
desire,0.2,0.5859375,0.2982107355864811,128.0
disappointment,0.1254355400696864,0.4426229508196721,0.19547511312217195,244.0
disapproval,0.12974203338391502,0.4464751958224543,0.20105820105820105,383.0
disgust,0.23604060913705585,0.5961538461538461,0.3381818181818182,156.0
embarrassment,0.2366412213740458,0.5344827586206896,0.328042328042328,58.0
excitement,0.15480427046263345,0.49714285714285716,0.23609226594301222,175.0
fear,0.36764705882352944,0.646551724137931,0.46875,116.0
gratitude,0.8244406196213425,0.8805147058823529,0.8515555555555555,544.0
grief,0.1794871794871795,0.5,0.2641509433962264,14.0
joy,0.3390894819466248,0.6878980891719745,0.45425867507886436,314.0
love,0.6228209191759112,0.8993135011441648,0.7359550561797753,437.0
nervousness,0.22727272727272727,0.5714285714285714,0.3252032520325203,35.0
optimism,0.29073482428115016,0.5617283950617284,0.3831578947368421,324.0
pride,0.15151515151515152,0.4166666666666667,0.2222222222222222,24.0
realization,0.09722222222222222,0.3452914798206278,0.15172413793103448,223.0
relief,0.05084745762711865,0.2222222222222222,0.08275862068965517,27.0
remorse,0.49732620320855614,0.8454545454545455,0.6262626262626263,110.0
sadness,0.2955665024630542,0.6521739130434783,0.4067796610169492,276.0
surprise,0.31385281385281383,0.7073170731707317,0.43478260869565216,205.0
neutral,0.5288975230694511,0.7745376955903271,0.6285714285714286,2812.0
micro avg,0.319442495673729,0.6673832323627126,0.4320733828878697,10234.0
macro avg,0.2895901417285512,0.5904981318919406,0.37772467702298984,10234.0
weighted avg,0.39296903873940886,0.6673832323627126,0.48322851311629583,10234.0
samples avg,0.38881690086769566,0.6871880519081626,0.4644082996018034,10234.0
Hamming Loss,,,0.07385970974429855,
