,precision,recall,f1-score,support
admiration,0.7352415026833632,0.4762456546929316,0.5780590717299579,863.0
amusement,0.7416666666666667,0.5894039735099338,0.6568265682656826,453.0
anger,0.7184466019417476,0.22910216718266255,0.3474178403755869,323.0
annoyance,0.4696969696969697,0.06418219461697723,0.11293260473588343,483.0
approval,0.5463917525773195,0.09185441941074524,0.1572700296735905,577.0
caring,0.5625,0.16981132075471697,0.2608695652173913,212.0
confusion,0.6842105263157895,0.10077519379844961,0.17567567567567569,258.0
curiosity,0.6027397260273972,0.09565217391304348,0.1651031894934334,460.0
desire,0.6744186046511628,0.2265625,0.3391812865497076,128.0
disappointment,0.56,0.05737704918032787,0.10408921933085502,244.0
disapproval,0.3939393939393939,0.06788511749347259,0.11581291759465479,383.0
disgust,0.6730769230769231,0.22435897435897437,0.33653846153846156,156.0
embarrassment,0.7777777777777778,0.2413793103448276,0.3684210526315789,58.0
excitement,0.6595744680851063,0.17714285714285713,0.27927927927927926,175.0
fear,0.6379310344827587,0.31896551724137934,0.42528735632183906,116.0
gratitude,0.9671772428884027,0.8125,0.8831168831168831,544.0
grief,0.0,0.0,0.0,14.0
joy,0.6099290780141844,0.27388535031847133,0.378021978021978,314.0
love,0.7840909090909091,0.631578947368421,0.6996197718631179,437.0
nervousness,0.6666666666666666,0.11428571428571428,0.1951219512195122,35.0
optimism,0.6666666666666666,0.3395061728395062,0.4498977505112474,324.0
pride,0.5,0.125,0.2,24.0
realization,0.6923076923076923,0.08071748878923767,0.14457831325301204,223.0
relief,0.0,0.0,0.0,27.0
remorse,0.5517241379310345,0.2909090909090909,0.38095238095238093,110.0
sadness,0.7037037037037037,0.2753623188405797,0.3958333333333333,276.0
surprise,0.6375,0.24878048780487805,0.35789473684210527,205.0
neutral,0.5870607028753994,0.5227596017069701,0.5530474040632054,2812.0
micro avg,0.6630785791173305,0.36114911080711354,0.4676113360323887,10234.0
macro avg,0.6001585267166798,0.24449941416086318,0.3236017364853698,10234.0
weighted avg,0.638414876822804,0.36114911080711354,0.42895384341453324,10234.0
samples avg,0.4016547646471627,0.3848959533133687,0.38670429240574367,10234.0
Hamming Loss,,,0.034620067792147956,
